"File","Line","Content"
"SecurityBaseline-Core.ps1","2339","- User kann Key zusätzlich exportieren/ausdrucken wenn gewünscht"
"SecurityBaseline-Core.ps1","2343","- Diese Function setzt nur Policies für zukünftige Änderungen"
"SecurityBaseline-Core.ps1","2348","- User kann BitLocker manuell aktivieren über Systemsteuerung"
"SecurityBaseline-Core.ps1","2349","- Windows fragt dann nach Speicherort für Recovery Key"
"SecurityBaseline-Core.ps1","2518","# Microsoft hat die Policy-Namen geändert - alte ""EncryptionMethod"" ist deprecated!"
"SecurityBaseline-Core.ps1","2620","# Prüfe CPU-Generation und gebe KLARE Empfehlung"
"SecurityBaseline-Core.ps1","2628","# Prüfe ob alte CPU OHNE AES-NI Support"
"SecurityBaseline-Core.ps1","2889","# Verwende .NET API für UTF-8 ohne BOM"
"SecurityBaseline-DNS.ps1","170","# Wir zählen Zeilen und multiplizieren mit 9 für echte Domain-Anzahl"
"SecurityBaseline-Interactive.ps1","373","# Pflicht-Module: Immer [X] und nicht änderbar"
"SecurityBaseline-Interactive.ps1","376","$checkColor = ""Yellow""  # Gelb für Pflicht!"
"SecurityBaseline-Localization.ps1","9","# WICHTIG: Nicht überschreiben wenn bereits gesetzt (z.B. von Parent-Script)"
"SecurityBaseline-Performance.ps1","10","Community-erprobte Performance-Optimierungen für Windows 11"
"SecurityBaseline-Performance.ps1","56","# Beide bleiben in Liste für Abwärtskompatibilität mit älteren Builds"
"SecurityBaseline-Performance.ps1","80","Optional = $true  # Existiert nur in älteren Builds"
"SecurityBaseline-Performance.ps1","87","Optional = $true  # Existiert nur in älteren Builds"
"SecurityBaseline-Performance.ps1","108","# Existiert nur auf Geräten mit LTE/5G"
"SecurityBaseline-Performance.ps1","112","Reason = ""Mobile Broadband (nur auf LTE/5G-Geräten)"""
"SecurityBaseline-Performance.ps1","114","Optional = $true  # Nur auf Mobile-Geräten"
"SecurityBaseline-Performance.ps1","130","Reason = ""Retail Demo (nur Store-Ausstellungsgeräte)"""
"SecurityBaseline-Performance.ps1","132","Optional = $true  # Nur auf Demo-Geräten"
"SecurityBaseline-Performance.ps1","171","# CIM-Errors KOMPLETT unterdrücken (nicht mal im Transcript!)"
"SecurityBaseline-Performance.ps1","178","# Task existiert nicht - überspringe"
"SecurityBaseline-Performance.ps1","183","# Task existiert - deaktiviere falls nötig"
"SecurityBaseline-Performance.ps1","394","# Null-Safe Check für MediaType (VMs haben oft keine MediaType Property)"
"SecurityBaseline-RegistryOwnership.ps1","8","Ermöglicht das Setzen von TrustedInstaller-geschützten Registry-Keys"
"SecurityBaseline-RegistryOwnership.ps1","11","Professionelles Ownership-Management für geschützte Registry-Keys."
"SecurityBaseline-RegistryOwnership.ps1","15","2. Take Ownership: Ändere zu BUILTIN\Administrators"
"SecurityBaseline-RegistryOwnership.ps1","17","4. Modify: Setze den gewünschten Wert"
"SecurityBaseline-RegistryOwnership.ps1","26","- Vollständiges Backup vor Änderungen"
"SecurityBaseline-RegistryOwnership.ps1","27","- Automatic Restore nach Änderungen"
"SecurityBaseline-RegistryOwnership.ps1","32","- Andere TrustedInstaller-geschützte Keys"
"SecurityBaseline-RegistryOwnership.ps1","38","# ===== PRIVILEGE MANAGEMENT (KRITISCH FÜR TRUSTEDINSTALLER RESTORE!) ====="
"SecurityBaseline-RegistryOwnership.ps1","43","Aktiviert Windows-Privilege für aktuellen Prozess"
"SecurityBaseline-RegistryOwnership.ps1","45","KRITISCH: SeRestorePrivilege wird benötigt um Ownership zurück zu TrustedInstaller zu setzen!"
"SecurityBaseline-RegistryOwnership.ps1","63","# P/Invoke Definitions für Token Manipulation"
"SecurityBaseline-RegistryOwnership.ps1","148","Nimmt temporär Ownership, setzt Wert, restored Ownership."
"SecurityBaseline-RegistryOwnership.ps1","149","Best Practice 2025: Vollständiges Backup/Restore"
"SecurityBaseline-RegistryOwnership.ps1","159","Beschreibung für Logging"
"SecurityBaseline-RegistryOwnership.ps1","265","# Ohne dieses Privilege schlägt OpenSubKey mit ""Access Denied"" fehl!"
"SecurityBaseline-RegistryOwnership.ps1","275","# Öffne Key mit TakeOwnership-Rechten"
"SecurityBaseline-RegistryOwnership.ps1","318","# Öffne Key mit ChangePermissions-Rechten"
"SecurityBaseline-RegistryOwnership.ps1","327","# Erstelle Full Control Rule für Administrators"
"SecurityBaseline-RegistryOwnership.ps1","340","# Füge Rule hinzu"
"SecurityBaseline-RegistryOwnership.ps1","353","# Enable SeRestorePrivilege für TrustedInstaller-Restore"
"SecurityBaseline-RegistryOwnership.ps1","376","# Prüfe ob Wert existiert"
"SecurityBaseline-RegistryOwnership.ps1","396","# Enable SeRestorePrivilege für TrustedInstaller-Restore"
"SecurityBaseline-RegistryOwnership.ps1","420","# Ohne dieses Privilege schlägt SetAccessControl fehl bei TrustedInstaller-Owner!"
"SecurityBaseline-RegistryOwnership.ps1","430","# Öffne Key mit vollen Rechten"
"SecurityBaseline-RegistryOwnership.ps1","514","# Unterdrückt Error im Transcript aber Try-Catch funktioniert trotzdem!"
"SecurityBaseline-RegistryOwnership.ps1","524","# Prüfe ob Wert existiert (SAFE method - no error records!)"
"SecurityBaseline-RegistryOwnership.ps1","561","if ($errorMsg -match ""Access.*denied|Zugriff.*verweigert|unzulässig|angeforderte.*Registrierungszugr"
"SecurityBaseline-RegistryOwnership.ps1","586","# Export Functions (für Dot-Sourcing)"
"SecurityBaseline-RegistryOwnership.ps1","587","# Functions sind automatisch verfügbar im calling scope"
